conferenceId,chairId,authorId
c105,chair1257,a3234
c66,chair1258,a9508
c114,chair1259,a3529
c5,chair1260,a4778
c84,chair1261,a3295
c6,chair1262,a6708
c14,chair1263,a5022
c4,chair1264,a6281
c56,chair1265,a7789
c113,chair1266,a6425
c111,chair1267,a5691
c67,chair1268,a5638
c52,chair1269,a7473
c70,chair1270,a10195
c68,chair1271,a3745
c39,chair1272,a9029
c95,chair1273,a9115
c77,chair1274,a6458
c73,chair1275,a9612
c87,chair1276,a10046
c46,chair1277,a10389
c37,chair1278,a9247
c75,chair1279,a8260
c17,chair1280,a5955
c59,chair1281,a1167
c92,chair1282,a7063
c42,chair1283,a1791
c45,chair1284,a6408
c8,chair1285,a4313
c113,chair1286,a9948
c33,chair1287,a263
c90,chair1288,a7606
c112,chair1289,a2931
c37,chair1290,a5932
c83,chair1291,a69
c44,chair1292,a2977
c89,chair1293,a9501
c71,chair1294,a6096
c13,chair1295,a1598
c120,chair1296,a2676
c32,chair1297,a3515
c80,chair1298,a1475
c48,chair1299,a8105
c119,chair1300,a4122
c40,chair1301,a7469
c59,chair1302,a6533
c54,chair1303,a7918
c51,chair1304,a9751
c21,chair1305,a7468
c35,chair1306,a1266
c14,chair1307,a9931
c19,chair1308,a6440
c118,chair1309,a10176
c71,chair1310,a3175
c79,chair1311,a2624
c21,chair1312,a5336
c108,chair1313,a3506
c0,chair1314,a8409
c56,chair1315,a2094
c97,chair1316,a3653
c102,chair1317,a8833
c97,chair1318,a7442
c118,chair1319,a4336
c46,chair1320,a177
c55,chair1321,a9294
c112,chair1322,a224
c34,chair1323,a3362
c20,chair1324,a6345
c40,chair1325,a4350
c115,chair1326,a7774
c24,chair1327,a4871
c87,chair1328,a5799
c81,chair1329,a6896
c85,chair1330,a7492
c16,chair1331,a7172
c6,chair1332,a3266
c6,chair1333,a2304
c97,chair1334,a127
c74,chair1335,a9452
c21,chair1336,a284
c72,chair1337,a2922
c68,chair1338,a6565
c119,chair1339,a8517
c70,chair1340,a4226
c19,chair1341,a4850
c7,chair1342,a4551
c73,chair1343,a9613
c37,chair1344,a10058
c45,chair1345,a10504
c117,chair1346,a5692
c59,chair1347,a2849
c97,chair1348,a9015
c46,chair1349,a10552
c39,chair1350,a2953
c110,chair1351,a8132
c120,chair1352,a6817
c32,chair1353,a5674
c9,chair1354,a5937
c25,chair1355,a3073
c83,chair1356,a1368
c102,chair1357,a10578
c45,chair1358,a9784
c108,chair1359,a6812
c8,chair1360,a7136
c82,chair1361,a1975
c119,chair1362,a895
c9,chair1363,a3292
c94,chair1364,a1866
c72,chair1365,a4344
c31,chair1366,a5388
c56,chair1367,a436
c100,chair1368,a5073
c69,chair1369,a2068
c87,chair1370,a6263
c30,chair1371,a1017
c119,chair1372,a1180
c73,chair1373,a904
c79,chair1374,a3197
c34,chair1375,a3201
c71,chair1376,a9989
c86,chair1377,a9895
c37,chair1378,a10506
c6,chair1379,a485
c108,chair1380,a10576
c64,chair1381,a10304
c55,chair1382,a2932
c84,chair1383,a9151
c92,chair1384,a1602
c43,chair1385,a10233
c59,chair1386,a4442
c76,chair1387,a6719
c89,chair1388,a8368
c7,chair1389,a2345
c119,chair1390,a5529
c47,chair1391,a1813
c42,chair1392,a1308
c61,chair1393,a815
c62,chair1394,a9683
c36,chair1395,a6630
c106,chair1396,a7732
c68,chair1397,a10096
c62,chair1398,a247
c119,chair1399,a174
c0,chair1400,a6717
c47,chair1401,a185
c32,chair1402,a5927
c114,chair1403,a6423
c74,chair1404,a6089
c74,chair1405,a10251
c82,chair1406,a8737
c60,chair1407,a7301
c119,chair1408,a6655
c23,chair1409,a5381
c104,chair1410,a1001
c105,chair1411,a9027
c105,chair1412,a7205
c101,chair1413,a4884
c29,chair1414,a1757
c49,chair1415,a10443
c55,chair1416,a2530
c41,chair1417,a8881
c87,chair1418,a7845
c35,chair1419,a3006
c13,chair1420,a1228
c43,chair1421,a4811
c14,chair1422,a4689
c11,chair1423,a7795
c13,chair1424,a8841
c109,chair1425,a9274
c32,chair1426,a2822
c55,chair1427,a7111
c30,chair1428,a5704
c22,chair1429,a3183
c69,chair1430,a2632
c87,chair1431,a3257
c97,chair1432,a10176
c22,chair1433,a6423
c98,chair1434,a4454
c112,chair1435,a7563
c110,chair1436,a2513
c0,chair1437,a9904
c64,chair1438,a7461
c70,chair1439,a544
c36,chair1440,a5784
c81,chair1441,a10435
c20,chair1442,a10230
c43,chair1443,a7769
c73,chair1444,a158
c24,chair1445,a3805
c115,chair1446,a4595
c115,chair1447,a620
c75,chair1448,a3152
c92,chair1449,a3855
c88,chair1450,a3181
c15,chair1451,a6229
c21,chair1452,a6340
c40,chair1453,a1469
c1,chair1454,a5649
c43,chair1455,a5891
c116,chair1456,a8438
c60,chair1457,a7570
c24,chair1458,a8055
c57,chair1459,a7192
c7,chair1460,a4873
c76,chair1461,a506
c99,chair1462,a287
c61,chair1463,a2686
c72,chair1464,a313
c17,chair1465,a8923
c2,chair1466,a5696
c110,chair1467,a2352
c71,chair1468,a8361
c37,chair1469,a1346
c65,chair1470,a8784
c22,chair1471,a8515
c118,chair1472,a10378
c66,chair1473,a2233
c75,chair1474,a12
c13,chair1475,a2645
c19,chair1476,a9817
c63,chair1477,a1331
c80,chair1478,a6473
c102,chair1479,a10438
c95,chair1480,a2024
c39,chair1481,a1668
c121,chair1482,a4884
c73,chair1483,a7711
c38,chair1484,a8940
c6,chair1485,a7489
c49,chair1486,a7279
c21,chair1487,a2768
c18,chair1488,a8907
c48,chair1489,a6192
c83,chair1490,a8351
c83,chair1491,a5243
c109,chair1492,a934
c1,chair1493,a8337
c61,chair1494,a3085
c55,chair1495,a3957
c113,chair1496,a8055
c52,chair1497,a8179
c77,chair1498,a5116
c72,chair1499,a464
c80,chair1500,a2757
c109,chair1501,a1964
c81,chair1502,a3427
c2,chair1503,a4605
c3,chair1504,a1524
c110,chair1505,a7263
c118,chair1506,a3779
c108,chair1507,a6273
c74,chair1508,a8713
c21,chair1509,a4601
c89,chair1510,a926
c98,chair1511,a3632
c35,chair1512,a3990
c51,chair1513,a4352
c24,chair1514,a3394
c75,chair1515,a8425
c65,chair1516,a9579
c76,chair1517,a1653
c91,chair1518,a4047
c61,chair1519,a6614
c48,chair1520,a10353
c30,chair1521,a2986
c43,chair1522,a5993
c69,chair1523,a5186
c28,chair1524,a2955
c46,chair1525,a4425
c73,chair1526,a8837
c108,chair1527,a1547
c74,chair1528,a5693
c4,chair1529,a9430
c111,chair1530,a9527
c73,chair1531,a485
c106,chair1532,a6912
c1,chair1533,a8352
c102,chair1534,a1901
c18,chair1535,a8901
c1,chair1536,a7739
c16,chair1537,a2312
c121,chair1538,a5589
c26,chair1539,a10402
c34,chair1540,a9105
c31,chair1541,a5569
c95,chair1542,a640
c9,chair1543,a809
c62,chair1544,a8566
c52,chair1545,a4148
c93,chair1546,a5018
c7,chair1547,a1067
c107,chair1548,a8716
c57,chair1549,a7860
c47,chair1550,a7796
c89,chair1551,a5094
c0,chair1552,a1827
c80,chair1553,a3398
c27,chair1554,a3783
c22,chair1555,a7107
c78,chair1556,a7271
c73,chair1557,a4740
c104,chair1558,a8527
c26,chair1559,a8447
c88,chair1560,a9827
c96,chair1561,a742
c44,chair1562,a502
c3,chair1563,a3914
c37,chair1564,a5980
c19,chair1565,a10389
c111,chair1566,a4751
c66,chair1567,a8997
c119,chair1568,a2858
c100,chair1569,a2528
c77,chair1570,a763
c117,chair1571,a4272
c62,chair1572,a8264
c49,chair1573,a7700
c11,chair1574,a11
c104,chair1575,a9464
c16,chair1576,a2809
c60,chair1577,a5115
c9,chair1578,a5519
c38,chair1579,a9027
c85,chair1580,a1950
c121,chair1581,a8437
c23,chair1582,a6558
c63,chair1583,a7325
c99,chair1584,a4669
c90,chair1585,a5552
c60,chair1586,a107
c37,chair1587,a10548
c97,chair1588,a4285
c113,chair1589,a5887
c7,chair1590,a7514
c61,chair1591,a514
c37,chair1592,a10086
c5,chair1593,a8468
c46,chair1594,a3833
c8,chair1595,a8524
c10,chair1596,a4358
c45,chair1597,a8119
c67,chair1598,a4069
c54,chair1599,a7387
c4,chair1600,a6533
c14,chair1601,a5935
c121,chair1602,a5546
c108,chair1603,a9100
c87,chair1604,a9349
c71,chair1605,a2797
c121,chair1606,a6711
c117,chair1607,a1394
c83,chair1608,a10555
c120,chair1609,a4209
c102,chair1610,a663
c112,chair1611,a1899
